title,manufacturer,year,price,location,hours,wear_score,value_score,source
2023 Liebherr LR 1600,Liebherr,2023,1248352,"Quebec City, QC",853,9.906,18.542112,Live Scraper
2023 Liebherr LR 1600,Liebherr,2023,1735941,"Erie, PA",866,9.932,18.540864000000003,Live Scraper
2023 Liebherr LR 1600,Liebherr,2023,1700237,"San Francisco, CA",881,9.962,18.539424,Live Scraper
2023 Grove GMK4100L,Grove,2023,1582525,"Greenville, SC",939,10.078,18.533856,Live Scraper
2023 Grove GMK5250L,Grove,2023,1232904,"Tampa, FL",949,10.097999999999999,18.532896000000004,Live Scraper
2023 Manitowoc 18000,Manitowoc,2023,1103156,"Reno, NV",957,10.114,18.532128,Live Scraper
2023 Manitowoc 21000,Manitowoc,2023,1238559,"Broken Arrow, OK",975,10.15,18.5304,Live Scraper
2023 Grove TMS9000E,Grove,2023,1403045,"Minneapolis, MN",1010,10.22,18.52704,Live Scraper
2023 Manitowoc MLC300,Manitowoc,2023,703354,"Birmingham, AL",1031,10.262,18.525024,Live Scraper
2023 Terex RT780,Terex,2023,426722,"Norfolk, VA",1081,10.362,18.520224,Live Scraper
2023 Liebherr LR 1300,Liebherr,2023,1886200,"Montgomery, AL",1091,10.382,18.519264000000003,Live Scraper
2023 Grove GMK6300L,Grove,2023,686095,"Ottawa, ON",1130,10.46,18.51552,Live Scraper
2023 Grove TMS9000E,Grove,2023,1314882,"North Charleston, SC",1135,10.47,18.51504,Live Scraper
2023 Manitowoc MLC650,Manitowoc,2023,1516169,"Denver, CO",1213,10.626000000000001,18.507552,Live Scraper
2023 Manitowoc Grove RT540E,Manitowoc,2023,846710,"Sioux City, IA",1230,10.66,18.50592,Live Scraper
2023 Grove RT890E,Grove,2023,1562000,"Calgary, AB",1315,10.83,18.497760000000003,Live Scraper
2023 Grove RT890E,Grove,2023,639862,"Fort Collins, CO",1322,10.844000000000001,18.497088,Live Scraper
2023 Terex RT780,Terex,2023,1471378,"San Francisco, CA",1429,11.058,18.486816,Live Scraper
2023 Grove RT890E,Grove,2023,888062,"Portland, OR",1471,11.142,18.482784000000002,Live Scraper
2023 Liebherr LTM 1500,Liebherr,2023,2012411,"Little Rock, AR",1520,11.24,18.478080000000002,Live Scraper
2023 Grove GMK6300L,Grove,2023,761680,"Milwaukee, WI",1523,11.246,18.477792000000004,Live Scraper
2022 Manitowoc 18000,Manitowoc,2022,875302,"Orlando, FL",867,11.534,18.252768,Live Scraper
2022 Grove GMK4100L,Grove,2022,443010,"Portland, OR",873,11.546000000000001,18.252192000000004,Live Scraper
2022 Manitowoc MLC650,Manitowoc,2022,1097894,"Ottawa, ON",1041,11.882000000000001,18.236064,Live Scraper
2022 Manitowoc 18000,Manitowoc,2022,1217817,"Chicago, IL",1077,11.954,18.232608,Live Scraper
2022 Liebherr LTM 1450,Liebherr,2022,985566,"Davenport, IA",1145,12.09,18.226080000000003,Live Scraper
2022 Terex AC350,Terex,2022,594462,"Evansville, IN",1168,12.136000000000001,18.223872,Live Scraper
2022 Terex AC500,Terex,2022,564074,"Cleveland, OH",1197,12.194,18.221088,Live Scraper
2022 Manitowoc MLC300,Manitowoc,2022,1450139,"Memphis, TN",1199,12.198,18.220896,Live Scraper
2022 Manitowoc Grove RT540E,Manitowoc,2022,905145,"Sioux City, IA",1378,12.556000000000001,18.203712000000003,Live Scraper
2022 Grove TMS9000E,Grove,2022,1379469,"North Charleston, SC",1554,12.908000000000001,18.186816000000004,Live Scraper
2022 Liebherr LR 1300,Liebherr,2022,670367,"Reno, NV",1596,12.992,18.182784,Live Scraper
2022 Liebherr LTM 1300,Liebherr,2022,1545436,"Columbus, GA",1614,13.028,18.181056,Live Scraper
2022 Terex RT780,Terex,2022,863821,"Kenosha, WI",1628,13.056000000000001,18.179712000000002,Live Scraper
2022 Manitowoc MLC650,Manitowoc,2022,906116,"Memphis, TN",1643,13.086,18.178272000000003,Live Scraper
2022 Manitowoc Grove RT540E,Manitowoc,2022,573567,"Columbia, SC",1681,13.162,18.174623999999998,Live Scraper
2022 Grove GMK4100L,Grove,2022,1247817,"Calgary, AB",1728,13.256,18.170112,Live Scraper
2022 Terex AC100,Terex,2022,507263,"Evansville, IN",1851,13.502,18.158304,Live Scraper
2022 Manitowoc Grove RT540E,Manitowoc,2022,526616,"Worcester, MA",1922,13.644,18.151488,Live Scraper
2022 Manitowoc 21000,Manitowoc,2022,1317993,"Rockford, IL",1995,13.790000000000001,18.14448,Live Scraper
2022 Manitowoc MLC650,Manitowoc,2022,825803,"Saint Paul, MN",2019,13.838000000000001,18.142176,Live Scraper
2022 Grove RT890E,Grove,2022,648060,"Milwaukee, WI",2118,14.036000000000001,18.132672,Live Scraper
2022 Terex RT670,Terex,2022,1103266,"Tacoma, WA",2143,14.086,18.130272,Live Scraper
2022 Grove RT890E,Grove,2022,1367810,"Philadelphia, PA",2166,14.132000000000001,18.128064000000002,Live Scraper
2022 Manitowoc MLC300,Manitowoc,2022,807064,"Columbus, OH",2168,14.136000000000001,18.127872000000004,Live Scraper
2022 Grove GMK5250L,Grove,2022,1269053,"Los Angeles, CA",2279,14.358,18.117216000000003,Live Scraper
2022 Grove GMK5250L,Grove,2022,866044,"Bellevue, NE",2313,14.426000000000002,18.113952,Live Scraper
2022 Manitowoc 18000,Manitowoc,2022,994583,"Warren, MI",2391,14.582,18.106464,Live Scraper
2022 Liebherr LTM 1500,Liebherr,2022,1376409,"Cincinnati, OH",2455,14.71,18.100320000000004,Live Scraper
2022 Terex AC100,Terex,2022,711958,"South Bend, IN",2500,14.8,18.096,Live Scraper
2022 Liebherr LR 1600,Liebherr,2022,971957,"Chesapeake, VA",2548,14.896,18.091392,Live Scraper
2022 Manitowoc Grove RT540E,Manitowoc,2022,674749,"Columbia, MO",2559,14.918000000000001,18.090336,Live Scraper
2021 Terex RT670,Terex,2021,1070061,"Miami, FL",1672,14.744,17.887488,Live Scraper
2021 Grove TMS9000E,Grove,2021,585224,"Parkersburg, WV",1722,14.844000000000001,17.882687999999998,Live Scraper
2022 Liebherr LR 1600,Liebherr,2022,651251,"Buffalo, NY",2623,15.046000000000001,18.084191999999998,Live Scraper
2022 Grove GMK4100L,Grove,2022,1388859,"Huntsville, AL",2658,15.116,18.080832,Live Scraper
2021 Manitowoc 21000,Manitowoc,2021,946991,"Owensboro, KY",1799,14.998000000000001,17.875296000000002,Live Scraper
2022 Liebherr LR 1300,Liebherr,2022,883959,"Durham, NC",2721,15.242,18.074784,Live Scraper
2021 Manitowoc Grove RT540E,Manitowoc,2021,758516,"Peoria, IL",2117,15.634,17.844768,Live Scraper
2020 Liebherr LTM 1300,Liebherr,2020,830582,"Springfield, IL",1502,16.003999999999998,17.615808,Live Scraper
2021 Grove GMK6300L,Grove,2021,1006636,"Fort Collins, CO",2530,16.46,17.80512,Live Scraper
2020 Terex AC350,Terex,2020,295724,"Seattle, WA",1779,16.558,17.589216,Live Scraper
2021 Liebherr LTM 1500,Liebherr,2021,790730,"Calgary, AB",2766,16.932000000000002,17.782464,Live Scraper
2021 Manitowoc MLC300,Manitowoc,2021,1243193,"Knoxville, TN",2768,16.936,17.782272000000003,Live Scraper
2021 Grove RT890E,Grove,2021,449857,"Charleston, SC",2826,17.052,17.776704000000002,Live Scraper
2021 Terex AC100,Terex,2021,505640,"Davenport, IA",2839,17.078,17.775456000000002,Live Scraper
2021 Terex AC350,Terex,2021,355357,"Warren, MI",2874,17.148,17.772096,Live Scraper
2020 Liebherr LTM 1450,Liebherr,2020,967354,"Parkersburg, WV",1974,16.948,17.570496,Live Scraper
2020 Manitowoc MLC300,Manitowoc,2020,1073092,"Carson City, NV",1988,16.976,17.569152,Live Scraper
2020 Terex AC500,Terex,2020,558127,"Knoxville, TN",2004,17.008,17.567615999999997,Live Scraper
2021 Terex RT670,Terex,2021,699019,"Columbia, MO",3062,17.524,17.754048,Live Scraper
2021 Terex AC350,Terex,2021,382333,"Columbus, OH",3244,17.888,17.736576,Live Scraper
2021 Terex RT670,Terex,2021,816083,"Richmond, VA",3410,18.22,17.720640000000003,Live Scraper
2020 Liebherr LTM 1300,Liebherr,2020,1183353,"San Antonio, TX",2590,18.18,17.51136,Live Scraper
2021 Liebherr LR 1300,Liebherr,2021,1354318,"Buffalo, NY",3517,18.434,17.710368000000003,Live Scraper
2021 Manitowoc MLC650,Manitowoc,2021,1289591,"Greenville, SC",3529,18.458,17.709216,Live Scraper
2021 Liebherr LTM 1300,Liebherr,2021,801638,"Eugene, OR",3561,18.522,17.706144,Live Scraper
2024 Galion Model 394,Galion,2024,507159,"Bowling Green, KY",5,16.61,15.7596,Live Scraper
2024 Crawler Model 462,Crawler,2024,982956,"Phoenix, AZ",5,16.61,15.7596,Live Scraper
2024 Demag Model 242,Demag,2024,1278386,"Saint Paul, MN",9,16.618,15.759280000000002,Live Scraper
2024 Zoomlion ZTC750V,Zoomlion,2024,941185,"Broken Arrow, OK",12,16.624,15.759040000000002,Live Scraper
2024 Link-Belt 218HSL,Link-Belt,2024,1228805,"Chesapeake, VA",13,16.626,15.758960000000002,Live Scraper
2024 Crawler Model 619,Crawler,2024,1248063,"Sacramento, CA",14,16.628,15.758880000000003,Live Scraper
2024 American Model 952,American,2024,673971,"Huntsville, AL",16,16.632,15.75872,Live Scraper
2024 Franna Model 876,Franna,2024,886653,"Montreal, QC",17,16.634,15.758640000000003,Live Scraper
2024 XCMG XCA100,XCMG,2024,979171,"Jacksonville, FL",18,16.636,15.758560000000001,Live Scraper
2024 Zoomlion ZCC1800H,Zoomlion,2024,902355,"Cedar Rapids, IA",21,16.642,15.758320000000005,Live Scraper
2024 Manitex Model 605,Manitex,2024,558417,"Lincoln, NE",21,16.642,15.758320000000005,Live Scraper
2024 Zoomlion ZCC1800H,Zoomlion,2024,404571,"Tulsa, OK",22,16.644,15.75824,Live Scraper
2024 Franna Model 634,Franna,2024,678586,"Virginia Beach, VA",22,16.644,15.75824,Live Scraper
2024 Manitex Model 374,Manitex,2024,1077131,"Fayetteville, AR",23,16.646,15.758160000000004,Live Scraper
2024 Shuttlelift Model 579,Shuttlelift,2024,695462,"Tulsa, OK",25,16.65,15.758000000000003,Live Scraper
2024 All Terrain Model 765,All Terrain,2024,1420490,"Rochester, NY",30,16.66,15.757600000000004,Live Scraper
2024 American Model 765,American,2024,793834,"Springfield, MO",31,16.662,15.75752,Live Scraper
2024 XCMG QY70K,XCMG,2024,360167,"Mesa, AZ",36,16.672,15.757120000000004,Live Scraper
2024 Demag Model 642,Demag,2024,464034,"Morgantown, WV",42,16.684,15.756640000000003,Live Scraper
2024 Shuttlelift Model 814,Shuttlelift,2024,1077346,"Los Angeles, CA",44,16.688,15.756480000000003,Live Scraper
2024 Crawler Model 476,Crawler,2024,1104383,"Montreal, QC",46,16.692,15.75632,Live Scraper
2024 Broderson Model 725,Broderson,2024,960846,"South Bend, IN",46,16.692,15.75632,Live Scraper
2024 Kato Model 158,Kato,2024,929191,"Evansville, IN",47,16.694,15.756240000000004,Live Scraper
2024 Tadano GR750XL,Tadano,2024,689299,"Nashville, TN",47,16.694,15.756240000000004,Live Scraper
2024 Kobelco CK1000G,Kobelco,2024,961209,"Omaha, NE",51,16.702,15.755920000000003,Live Scraper
2024 National Model 200,National,2024,769623,"Vancouver, WA",52,16.704,15.755840000000001,Live Scraper
2024 Rough Terrain Model 244,Rough Terrain,2024,1418387,"Saint Louis, MO",53,16.706,15.755760000000004,Live Scraper
2024 Manitex Model 700,Manitex,2024,618203,"Parkersburg, WV",53,16.706,15.755760000000004,Live Scraper
2024 Shuttlelift Model 157,Shuttlelift,2024,830265,"Charleston, SC",55,16.71,15.755600000000001,Live Scraper
2024 Manitex Model 200,Manitex,2024,1207497,"Morgantown, WV",56,16.712,15.755520000000002,Live Scraper
2024 Sany SCC8500,Sany,2024,745177,"Norman, OK",57,16.714,15.755440000000002,Live Scraper
2024 Zoomlion ZCC3200NP,Zoomlion,2024,602662,"Charlotte, NC",63,16.726,15.75496,Live Scraper
2024 Galion Model 972,Galion,2024,838884,"Jackson, MS",64,16.728,15.754880000000004,Live Scraper
2024 Shuttlelift Model 886,Shuttlelift,2024,634311,"Charlotte, NC",65,16.73,15.754800000000001,Live Scraper
2024 XCMG QY25K5,XCMG,2024,761349,"Salem, OR",65,16.73,15.754800000000001,Live Scraper
2024 Franna Model 566,Franna,2024,539902,"Broken Arrow, OK",70,16.740000000000002,15.754400000000004,Live Scraper
2024 All Terrain Model 863,All Terrain,2024,1129550,"Las Vegas, NV",75,16.75,15.754000000000003,Live Scraper
2024 Shuttlelift Model 329,Shuttlelift,2024,489249,"Detroit, MI",79,16.758,15.753680000000003,Live Scraper
2024 Shuttlelift Model 517,Shuttlelift,2024,1339094,"Columbus, OH",81,16.762,15.753520000000004,Live Scraper
2024 Galion Model 494,Galion,2024,943470,"Bowling Green, KY",88,16.776,15.752960000000002,Live Scraper
2024 Franna Model 627,Franna,2024,1455721,"Reno, NV",88,16.776,15.752960000000002,Live Scraper
2024 Demag Model 573,Demag,2024,1127283,"Las Vegas, NV",93,16.786,15.75256,Live Scraper
2024 Shuttlelift Model 342,Shuttlelift,2024,419329,"Bowling Green, KY",102,16.804,15.751840000000001,Live Scraper
2024 Crawler Model 447,Crawler,2024,694551,"Mesa, AZ",108,16.816,15.75136,Live Scraper
2024 Galion Model 806,Galion,2024,656586,"Grand Island, NE",109,16.818,15.751280000000003,Live Scraper
2024 XCMG XCA100,XCMG,2024,872551,"Pittsburgh, PA",110,16.82,15.7512,Live Scraper
2024 Broderson Model 893,Broderson,2024,401547,"Nashville, TN",114,16.828,15.750880000000002,Live Scraper
2024 Galion Model 257,Galion,2024,1293877,"Cambridge, MA",114,16.828,15.750880000000002,Live Scraper
2024 National Model 762,National,2024,711477,"Cedar Rapids, IA",115,16.83,15.750800000000005,Live Scraper
2024 Shuttlelift Model 728,Shuttlelift,2024,513473,"Virginia Beach, VA",115,16.83,15.750800000000005,Live Scraper
2024 National Model 117,National,2024,1224381,"Knoxville, TN",116,16.832,15.750720000000001,Live Scraper
2024 Franna Model 603,Franna,2024,462311,"Kenosha, WI",118,16.836,15.750560000000002,Live Scraper
2024 Link-Belt 218HSL,Link-Belt,2024,746436,"Norman, OK",118,16.836,15.750560000000002,Live Scraper
2024 Rough Terrain Model 514,Rough Terrain,2024,763007,"Dallas, TX",118,16.836,15.750560000000002,Live Scraper
2024 XCMG XCA100,XCMG,2024,678633,"Vancouver, WA",122,16.844,15.750240000000003,Live Scraper
2024 All Terrain Model 510,All Terrain,2024,1052425,"Savannah, GA",124,16.848,15.750080000000004,Live Scraper
2024 National Model 670,National,2024,1095374,"Tacoma, WA",124,16.848,15.750080000000004,Live Scraper
2024 Manitex Model 525,Manitex,2024,1297562,"Mesa, AZ",128,16.856,15.749760000000004,Live Scraper
2024 Zoomlion ZCC1800H,Zoomlion,2024,647518,"San Diego, CA",130,16.86,15.749600000000004,Live Scraper
2024 Crawler Model 957,Crawler,2024,1419158,"Tacoma, WA",134,16.868,15.749280000000002,Live Scraper
2024 Shuttlelift Model 148,Shuttlelift,2024,1370366,"Dallas, TX",136,16.872,15.749120000000003,Live Scraper
2024 Sany SCC8500,Sany,2024,1094124,"South Bend, IN",139,16.878,15.748880000000003,Live Scraper
2024 Sany SCC8500,Sany,2024,441846,"Memphis, TN",144,16.888,15.74848,Live Scraper
2024 Tadano ATF220G,Tadano,2024,1753350,"Baton Rouge, LA",145,16.89,15.748400000000004,Live Scraper
2024 Demag Model 426,Demag,2024,765526,"Jacksonville, FL",151,16.902,15.747920000000002,Live Scraper
2024 Kato Model 396,Kato,2024,478850,"Syracuse, NY",152,16.904,15.747840000000004,Live Scraper
2024 American Model 782,American,2024,768226,"Rochester, MN",153,16.906,15.74776,Live Scraper
2024 American Model 974,American,2024,944339,"Winnipeg, MB",159,16.918,15.747280000000002,Live Scraper
2024 Rough Terrain Model 274,Rough Terrain,2024,637417,"Raleigh, NC",163,16.926000000000002,15.746960000000001,Live Scraper
2024 Franna Model 934,Franna,2024,1009996,"Durham, NC",163,16.926000000000002,15.746960000000001,Live Scraper
2024 American Model 710,American,2024,968671,"Gulfport, MS",167,16.934,15.746640000000003,Live Scraper
2024 XCMG XCA60E,XCMG,2024,594803,"Miami, FL",170,16.94,15.746400000000001,Live Scraper
2024 XCMG QY25K5,XCMG,2024,407995,"Birmingham, AL",171,16.942,15.746320000000004,Live Scraper
2024 Link-Belt 300X4,Link-Belt,2024,1426205,"Owensboro, KY",172,16.944,15.74624,Live Scraper
2024 Sany STC1000,Sany,2024,570461,"Norman, OK",183,16.966,15.74536,Live Scraper
2024 Shuttlelift Model 253,Shuttlelift,2024,421192,"Winnipeg, MB",187,16.974,15.745040000000001,Live Scraper
2024 Kato Model 717,Kato,2024,695162,"Broken Arrow, OK",191,16.982,15.744720000000001,Live Scraper
2024 Demag Model 213,Demag,2024,627742,"Springfield, MA",195,16.990000000000002,15.744400000000002,Live Scraper
2024 Kobelco CK1200G,Kobelco,2024,779196,"Grand Island, NE",196,16.992,15.744320000000002,Live Scraper
2024 Rough Terrain Model 436,Rough Terrain,2024,1023785,"Quebec City, QC",198,16.996,15.744160000000003,Live Scraper
2020 Manitowoc Grove RT540E,Manitowoc,2020,457036,"Indianapolis, IN",2872,18.744,17.484288000000003,Live Scraper
2024 Tadano ATF130G,Tadano,2024,822864,"Vancouver, BC",204,17.008,15.743680000000001,Live Scraper
2024 Tadano ATF130G,Tadano,2024,1309686,"Bowling Green, KY",207,17.014,15.743440000000005,Live Scraper
2024 Demag Model 515,Demag,2024,759985,"Miami, FL",208,17.016,15.743360000000003,Live Scraper
2024 Crawler Model 780,Crawler,2024,1124309,"Shreveport, LA",212,17.024,15.743040000000002,Live Scraper
2024 XCMG XCA60E,XCMG,2024,450817,"Columbus, OH",216,17.032,15.742720000000004,Live Scraper
2024 Shuttlelift Model 640,Shuttlelift,2024,1267525,"Jacksonville, FL",216,17.032,15.742720000000004,Live Scraper
2024 Rough Terrain Model 307,Rough Terrain,2024,739528,"Eugene, OR",218,17.036,15.742560000000005,Live Scraper
2024 American Model 933,American,2024,1114190,"Springfield, MA",220,17.04,15.742400000000004,Live Scraper
2024 XCMG QY25K5,XCMG,2024,667117,"Reno, NV",220,17.04,15.742400000000004,Live Scraper
2024 Sany STC500,Sany,2024,1008597,"Rockford, IL",221,17.042,15.742320000000001,Live Scraper
2024 Crawler Model 280,Crawler,2024,1174518,"Knoxville, TN",221,17.042,15.742320000000001,Live Scraper
2024 Franna Model 182,Franna,2024,952487,"Fort Smith, AR",226,17.052,15.741920000000002,Live Scraper
2021 Manitowoc MLC650,Manitowoc,2021,439546,"Montreal, QC",3797,18.994,17.683488,Live Scraper
2024 XCMG QY50K,XCMG,2024,573232,"Fort Smith, AR",228,17.056,15.741760000000003,Live Scraper
2024 Rough Terrain Model 187,Rough Terrain,2024,1338278,"Green Bay, WI",229,17.058,15.741680000000002,Live Scraper
2024 Franna Model 122,Franna,2024,769777,"Los Angeles, CA",233,17.066,15.741360000000004,Live Scraper
2024 Manitex Model 750,Manitex,2024,1428860,"Green Bay, WI",235,17.07,15.741200000000005,Live Scraper
2024 National Model 132,National,2024,1066343,"Atlanta, GA",236,17.072,15.741120000000002,Live Scraper
2024 Manitex Model 548,Manitex,2024,1055380,"Chicago, IL",237,17.073999999999998,15.741040000000005,Live Scraper
2024 Sany STC1000,Sany,2024,760105,"Grand Island, NE",241,17.082,15.740720000000003,Live Scraper
2024 Franna Model 504,Franna,2024,492200,"Colorado Springs, CO",243,17.086,15.740560000000002,Live Scraper
2024 American Model 724,American,2024,772523,"Charleston, WV",243,17.086,15.740560000000002,Live Scraper
2024 National Model 336,National,2024,1353930,"Springfield, MA",244,17.088,15.740480000000003,Live Scraper
2024 Shuttlelift Model 200,Shuttlelift,2024,1183032,"Cincinnati, OH",244,17.088,15.740480000000003,Live Scraper
2024 Manitex Model 933,Manitex,2024,1455242,"Rockford, IL",245,17.09,15.740400000000001,Live Scraper
2024 Demag Model 736,Demag,2024,613725,"Omaha, NE",247,17.094,15.74024,Live Scraper
2024 Manitex Model 557,Manitex,2024,712403,"Pittsburgh, PA",253,17.106,15.739760000000002,Live Scraper
2024 Rough Terrain Model 990,Rough Terrain,2024,1066503,"Los Angeles, CA",254,17.108,15.739680000000002,Live Scraper
2021 Grove GMK6300L,Grove,2021,586561,"Detroit, MI",3826,19.052,17.680704000000002,Live Scraper
2024 Broderson Model 674,Broderson,2024,641299,"Warren, MI",257,17.114,15.739440000000002,Live Scraper
2024 Broderson Model 794,Broderson,2024,738419,"Worcester, MA",259,17.118000000000002,15.739280000000003,Live Scraper
2024 Kato Model 980,Kato,2024,1101461,"Carson City, NV",262,17.124,15.739040000000001,Live Scraper
2024 Galion Model 887,Galion,2024,904317,"Detroit, MI",265,17.13,15.738800000000005,Live Scraper
2024 Franna Model 428,Franna,2024,763387,"Tucson, AZ",266,17.132,15.73872,Live Scraper
2024 Manitex Model 796,Manitex,2024,1141447,"Los Angeles, CA",269,17.137999999999998,15.738480000000003,Live Scraper
2024 Zoomlion ZTC750V,Zoomlion,2024,736710,"Columbia, MO",275,17.15,15.738,Live Scraper
2024 Manitex Model 293,Manitex,2024,1160572,"Jackson, MS",280,17.16,15.737600000000004,Live Scraper
2024 Kato Model 521,Kato,2024,1237158,"Columbia, MO",281,17.162,15.737520000000002,Live Scraper
2024 XCMG XCA100,XCMG,2024,673167,"Raleigh, NC",282,17.164,15.737440000000005,Live Scraper
2024 Rough Terrain Model 457,Rough Terrain,2024,1366144,"Tacoma, WA",285,17.17,15.737200000000001,Live Scraper
2024 Crawler Model 287,Crawler,2024,816963,"Bowling Green, KY",288,17.176000000000002,15.736960000000003,Live Scraper
2024 Manitex Model 467,Manitex,2024,1149040,"Evansville, IN",297,17.194,15.736240000000004,Live Scraper
2024 All Terrain Model 621,All Terrain,2024,906171,"Portland, OR",297,17.194,15.736240000000004,Live Scraper
